Example,Structure
I had to buy one of these! [Cup of coffee] Let me explain what it does…,I had to buy one of these [show product] Let me explain what it does…
"I'll show you 1 of my favorite websites that help you create content for Instagram, literally in a matter of minutes, all for free!","I'll show you 1 of my favorite (website/app/tool) that helps you (action) (common problem/pain point/frustration) (time frame, low cost)!"
"If you're a flight attendant with zero time to get ready in the morning, this is for you!",If you are a (job title/industry/niche/professional title) with (current pain point/frustration)!!!!!!!! !!!!!!
Mompreneurs! You should know about this tool if you want to create content that speaks directly to your audience.,(Job Title/Industry/Niche/Professional Title) You need to know about this (website/app/tool) if you want to create content that speaks directly to your audience.
Things you didn't know you can do on Instagram!,Things you didn't know you can do (Platform / Website / App / Social).
"Here's a crazy social media hack you're not ready to hear, but... it's honestly the truth.","Here's a crazy (social platform/related niche/industry topic) hack that you're not ready to hear, but... it's honestly the truth."
This 1 thing will make people more likely to check your Instagram.,This 1 thing will make people much more likely to visit your (website/platform/niche/industry)
"Here's a real trick for airbrush makeup. No, this is not clickbait.","Here is a real trick for (subject/theme/platform/application). No, this is not clickbait."
Here are 3 things you should wear if you're a stay-at-home mom.,Here are 3 things you should use if you are a (niche/title/relationship).
5 Best Healthy Things to Do in Austin…,5 Best (what your viewer wants/wants) things to do in (location)…
This is the easiest way to get photoshoot quality photos just using the lighting in your bathroom and your phone.,This is the easiest way to get (desired result) just using (easiest method that everyone can use/has available)
"Do you spend too much to find the perfect aesthetic? Well, listen!","Do you (action you want to avoid) too much to get (goal)? Well, listen!"
"Don't buy that, use this instead part 30","Don't buy that, use this part (high number)"
Do you want your home to look expensive? Then listen... right now!,Do you want your (subject/theme) to look like (desired ideal outcome)? Then listen... right now!
Here's another introvert trick I guarantee you didn't know about.,"Here's another trick (personality type/high authority title), I guarantee I didn't know about."
I bought it so you don't have to... Part 40.,I bought it so you don't have to... part (high number)
This makeup hack could break the Internet…,This (niche-specific) hack could break the Internet…
"Listen y'all, I'm only going to say this once! …","Listen y'all, I'm only going to say this once! …"
Here are 2 of my favorite auto mechanic soaps at Walmart that you have to try!,"Here is (number) of my favorite (industry/niche), (business/niche/product) on (website/app) you must try!"
This is 1 of the most underrated pieces of photography equipment. Let's talk about.…,This is 1 of the most underrated pieces of the most underrated team (subject). Let's talk about.…
"Alright guys, I found it! The goat of all video cameras for live streaming. This can make your lighting look like a movie in 3 minutes or less.","Alright guys, I found it! Everyone's goat (product/service/website). This thing can (result/desired outcome) in (ideal time frame)."
"If you are in the makeup industry, you need this mirror.","If you are in the industry (business/niche), you need this (business/niche/product)."
"I don't know who needs to hear this, but they're probably creating Instagram stories all wrong. Let me tell you why.","I don't know who needs to hear this, but it's probably (action) (business/niche/product) wrong. Let me tell you why."
If you shop at Target you have to see this!,If you shop in (business/niche) you have to see this!
"Listen! Here are 2 tips I want you to know, to make sure you get a new computer for the cheapest price, the right way!","Listen! Here are (number) tips I want you to know, to make sure you can get a (desired result), the right way!"
"I just want to ask you something. Why do people say they want flawless skin, but they aren't using this simple tip?",I just want to ask you something. Why do people say they want (desired result) but aren't using this simple tip?
"I'll show you in 2 minutes how to properly create 30 days of Instagram content. Because if you're not doing it this way, you're missing out hugely!","I will show you in (short time frame) how to correctly (desired result). Because if you're not doing it this way, you're missing out hugely!"
Here's the exact outfit you should wear if you want to get hired on the spot.,Here is the exact (business/niche/product) if you want (desired outcome).
These tires are guaranteed to increase how far you can go on your next trail.,This (tool/website/app/product) is guaranteed (positive adjective) your (desired result).
"Here's how you can get the clean girl aesthetic, without breaking the bank every time!",This is how you can (desire results) without (problem) every time!
Let me show you how to make the fastest and cheapest computer on a budget.,Let me show you how to make the (positive adjective) and (ideal outcome) (product)
2 Dating Apps You Wish You Knew Before,(number) (business/niche/industry) (tool/website/app) I wish I knew this sooner
Keep watching to see the most useful meal preps for 2022.,Keep looking to see the most useful (tool/website/app) for the (time period)
The best full glam I've ever done.,The best (unique strategy/technique) I've ever done.
"Alright, if you're not a dog parent, keep scrolling. This is not for you.","Alright, if you're not a (personal title) keep scrolling. This is not for you."
"This is one of the best strategies when it comes to getting a professional look on a budget, that you can use right now. So listen up!",This is 1 of the best strategies when it comes to (common problem) that you can use right now. So listen up!
"When it comes to getting more followers on my Instagram, I only rely on 1 hack. Let me teach you.",When it comes to (ideal result) I only trust 1 hack. Let me teach you
Curly Hair Secret No One Is Talking About!,(Solution to the problem) Secret that no one is talking about!
"There is 1 concealer hack that you are not using, but you absolutely should.",There is 1 trick (product) you are not using but you absolutely should!
"This is probably my best tip, and it's exactly what I use to get perfect foundation coverage. I can't believe I'm going to share this. It's exactly what I use to take all my IG photos.","This is probably my best advice, and it's exactly what I use to get (solution to the problem). I can't believe I'm going to share this...it's exactly what I use (solution to the problem)."
"I'm a dog trainer and I've tried 3 different dog walking services for puppies, so you don't have to!",I'm a (professional/authority) and I've tried 6 different (tools/ideas) (problem you have) so you don't have to!
Do you want to know the secret to creating the perfect date outfit? All your favorite influencers apply this same trick.,Do you want to know the secret to creating the perfect (ideal result)? Your favorite (Influencer/Model) applies this same trick.
"If you have a problem with gaining muscle or are sore all the time during workouts, you might want to try this protein powder today!","If you have (problem) or are experiencing (problem effect), you may want to try this (proven method) today."
"This is how I fixed 10,000 pipes in New York with my plumbing company.",This is how I (Acton/Problem you solve) (item you are familiar with) for my (product/service)
I tried 3 Tiktok BBQ recipes in the microwave and this 1 was the best.,I tried (number) (niche) techniques on (tool/idea) and this 1 is the best.
Nobody was going to tell me that YouTube has courses that have been around forever?,No one was going to tell me that (single problem or talking point) has been around forever?
What is the difference between,What is the difference between (like-for-like) and (like-for-like)? Let me explain.
"The plumbers this is pretty interesting, you'll want to check this out.","(Client/Niche) This one is pretty interesting, you'll want to check this out."
This new app will allow you to book 10x more calls in less than 30 days.,This (tool) will allow you to (overcome the problem) in less than (ideal time frame).
"If you are a lawyer, listen up!",If you are a (your profession) Listen!
3 easy-to-remember tips for dirty refrigerators.,(number) Easy to remember tips for (problem).
That's why your Facebook ad isn't working.,That's why your (problem/product) doesn't work.
No one is talking about how goat yoga is taking over the yoga industry.,Nobody talks about the (single subject within the niche) is taking over the (niche/subject)
"Fitness experts, here's something I bet you didn't know…",(Client/niche) Here's something I bet you didn't know…
Here's a quick trick that will get you results fast!,Here's a quick (business/niche/product) hack that will get you results fast!
"Small business owners, you won't believe this!",(Customer/Niche) You won't believe this.
I bought these LED lights so you don't have to. Let me show you the pros and cons.,I bought this (website/tool/app) so I don't have to. Let me show you the pros and cons.
Now look at this life of life. If you…,Now look at this life of life. If you (common problem your audience wants to avoid)
"Wait 1 more thing, and then I'll literally go to sleep. So it's called morning affirmations.","Wait 1 more thing, and then I'll literally go to sleep. Then it is called (your theme/subject)."
There is 1 thing you should do before you start posting any content like this.,There is 1 thing you should do before you start (common practice they are doing that most people know is really a mistake).
You won't believe what I found at Goodwill…,"You won't believe what I found in (location, place or niche related settings)…"
"Hey, do you know about these secret Costco hacks?","Hey, do you know about these secret hacks (specific topic or topic related to niche)?"
Quick advice for men that no one asked me for.,Quick tip for (business/niche/website/app/occupation) that no one asked me for.
"Men, I am about to share with you 1 thing that will make you irresistible to all women. Please use this responsibly.",(Occupation/Gender/Business Title) I'm about to share with you 1 thing that will make you irresistible to everyone (desired outcome targeting a specific demographic). Please use this responsibly.
"I wear my headphones like this, so... I don't end up like this…","I carry my (common item, clothing, niche, object) like this, so... I don't end up like this…"
3 places to go when you are in Japan,3 places to go when you are (location/place/country/experience).
"Put this 1 makeup tool in your bag, if you don't want to take hours on a client.",Put this 1 (thing) in your (business/niche/strategy) if you don't want it (negative outcome they want to avoid).
This Lifehack will save you a lot of time. Stop eating vegetables.,This Lifehack will save you a lot of time. (1 liner that is polarizing a common belief related to the niche).
Here's a crazy tarp hack you won't believe is possible.,Here's a crazy hack (tool/website/app) that you won't believe is possible.
Why is no one talking about this MacBook hack?,Why isn't someone talking about this hack (business/niche/product)?
Do you want to double your sales on LinkedIn? This is how you do it.,Do you want to Duplicate Your (desired result) in (Platform/Business)? That's how you do it.
"Lawyers stop moving! Lawyers If you want to prepare for the long term, listen up!","(Job Title/Industry/Niche/Professional Title) stop scrolling! (Job Title/Industry/Niche/Professional Title) If You Want to Prepare for the Long Term, Listen Up!"
"If I were restarting my career in marketing, this is exactly what I would do!","If I were Restarting my Career in (Niche, Demographic, Business Type), THIS IS WHAT I WOULD DO!"
Here's a cool Pinterest trick you need to know!,Here's a Cool (Platform/Platform/Platform/Website) Trick You Need to Know!
Top 5 Apps I Use to Run My Los Angeles Marketing Agency,Top 5 (Apps/Tools/Website) I Use to Run My (Niche/Job Title)
2 YouTube Updates You Absolutely Need to Know! Grab your pen and paper we're in!,2 (apps/social platforms) Updates You Absolutely Need to Know About! Grab Your Pen and Paper We Enter!
Are you a business owner looking to grow your LinkedIn with your ideal client?,Are you a Business Owner and Want to Grow Your (Platform/Product/Service) with Your Ideal Client?
"Trust me when I tell you... this new app, that's totally free, will be a game changer for you!","Trust Me When I Tell You... This New (Website/Tool/App), That's Totally Free, Will Be a Game Changer for You!"
Bet you didn't know about this sneaky Twitter trick!,Bet you didn't know this sneaky trick (platform/website/app/Tools/Social Platform)!
"Do you want to see a sneak peek of my top 10 Tiktok growth hacks, of course I just created?","Do you want to see A Preview of Me (Free Resource You Have to Download), I Just Cear?"
Here are 3 websites I would use if I wanted to create a landing page for under $50.,"Here Are The 3 (Tools, Websites, Apps) You Would Use If You Wanted to Create a (Product or Service Related to Your Niche) for Less Than (Low Cost Number)"
Do this if you want to start monetizing your email list you've built!,DO THIS IF YOU WANT TO START MONETIZING YOUR (SOCIAL PLATFORM / INDUSTRY RELATED / Special NICHE)!
The Top 3 Books You Should Read If You're Trying to Start a Weekend Side Hustle.,Top 3 Libraries You Should Read If You're Trying to Start a (Degree/Industry/Niche).
3 Tutorial Websites You Should Know If You Want to Get Better at Design!,3 (Website / Tool / Platform / Application) You Should Know If You Want to Improve (Related to Your Product / Service)
This is the #1 reason I see local restaurants going out of business.,This is the #1 Reason I See (Niche/Industry/Professional Title) Going Out of the Business.
"How to Be Really Good at Writing Most people say read a book. Instead, try this.","HOW TO BE REALLY GOOD (Common Problem to be solved). Most People Say (Common Method) Instead, Try This."
This is how I audit a new client website…,This is how I (action/service you provide) a New (Customer/Customer) (what your service focuses on)…
"If you're struggling to get more views on your reels, steal this strategy!","If You Are Struggling (Common Rel-Rel-Rel Problem With Your Product or Service), Steal This Strategy!"
Here's something I learned as a plumber who made me over 1 million dollars in my business.,Here's Something I Learned As a (Job Title/Industry/Niche/Professional Title) that has surpassed me (Dollar Amount) in my business.
Awesome apps you should start paying attention to... right now!,(Adjective) (Website / Tool / Platform / Application) You Should Start Paying Attention To... Right Now!
"This is the exact strategy I use for my clients on how to scale your email list to 100k subscribers, which you can steal!","This is the exact strategy I use for my clients ON HOW (The problem to be solved), which can steal!"
"If you're looking to get into programming, here are 3 websites you should check out right away!","If You Are Looking To Break In (Your Niche/Industry) Here Are 3 (Websites/Application/Tool), You Should Visit Right Away!"
The first thing you should invest in in your business is a virtual assistant.,The first thing you should invest in is your business (name is it).
"Ok, here's a simple brain hack I used last year to 10x my email list.","Ok, here's a simple Brilliant menthe hack that I used last year for 10 times my (something related to your product or service)."
Here's what you can expect when you work with a real web designer professional like me…,THIS IS What You Can Expect When Working With A Real Professional (Your Niche/Industry/Job/Job) Like…
"This is one of the easiest strategies when it comes to growing on Instagram, that no one talks about.",THIS IS 1 OF THE EASIEST STRATEGIES WHEN IT COMES TO (SOCIAL PLATFORM / WEBSITE / APP / RESOURCES / COMMUNITY) THAT NO ONE TALKS ABOUT!
"I'll show you how to get unstuck for more leads in just 1 video! Listen, because this 1 is crazy.","I'll show you how to get unstuck (The Pain Point They Are Suffering) in Just 1 Video! Listen, Because this 1 is crazy."
This is the easiest way to create a logo for your website.,This is the easiest way to build (something you want but are hesitant about) for (platform/website/place you're building).
"Stop using Canva, use this tool instead!",Stop Using (Website/Tool/Application/Common Resources) Use Us (New Website/Tool/Application/Platform/Resource) Instead!
This is how you really keep your car from overheating from a mechanical engineers perspective.,This is How I Really Realize (The Pain Point Is Suffering-) From One Perspective (High Authority Title / Title Related To The Pain Point).
"Here's a website that helps you build an app, without knowing how to code!",Here Is A Website That Helps You (Action) (Pain Point).
Here's another website for Instagram you should bookmark!,Here's Another Website for (Niche/Industry/Topic) You Should Bookmark!
Hello small business owners and stay at home moms. Here's the #1 thing I see you doing wrong!,Hello (Industry Title) and (Niche Title) Here's the #1 Thing I See You're Doing Wrong!
"Here's a trick I used to make my first logo for my business, before I didn't have the money to buy one.","Here's a Trick I Used to Do First (Something Related to Your Business) for My Business, Before I Had No Money to Buy One."
"3 hard pills from a lawyer. Hang in there and listen to them all because once you clear them up, it will make it a lot easier for you.","3 Pills differs from a (Job Title/Authority). Hang in there and listen to them all because once you clear them up, it will make it a lot easier for you."
"If you own a business, you need to see this!","If You Have a Business, You Need to See This!"
Marketing secret you need to know…,(Your Niche) Secret You Need to Know…
"If you are a videographer looking to book more clients, you need to do these 2 things in 2022.",IF YOU ARE A (Professional Title) Seeking (Desired Result) You Have to Do These 2 Things in 2022.
"If you give me 30 seconds, I will show you a free app that will change your business.","If You Give Me (Short Time Frame), I Will Give You a (Resource, App, Website) That Will Change Your Business."
This is how you can steal Elon Musks Twitter technique and use it for yourself!,This is how you can steal (name/brand/public figure/recognizable public figure) (subject) and use it for yourself!
"These are my secrets to getting hired at a law firm, from a top lawyer in the world.","These are my secrets for (desired outcome which is a Pain Point) in (Subject/Location/Place), from a Top (Title of Authority in that Niche/Space) in the World."
Here's something most Tiktok marketing gurus don't talk about when it comes to starting an ECOM brand.,"Here's something most tiktok gurus (title) don't talk about when it comes to (something that's often talked about in their industry, but you think it's wrong)."
"What is 1 site, rich people don't want you to know about Part 12?",What is 1 Site (High Desire Subject/Topic) People Don't Want You to Know About Part (High Number)
Here is a website that feels illegal to know part (high number),Here Is A Website That Feels Illegal Know Part (High Number)
"How to sound more high status on sales calls, I wish I knew sooner.","HOW TO SOUND MORE (ideal result/desire) in (niche type action), than you would like to know before."
Hard pill from a licensed therapist…,Hard Pill of A (High Authority Professional Title) …
"There is a trick to learning marketing that is so beloved, it almost makes me angry.","There Is a Trick for Learning (Subject/Theme) That Is So Appreciated, It Almost Makes Me Angry."
Here's another secret that nerds don't want you to know about…,Here's Another Secret (High Authority Nickname/Jargon Title) He Doesn't Want You To Know About…
You absolutely need this free tool to paint your house for much less.,You Absolutely Need This Free Tool for (Common Problem)
The chiropractic industry doesn't want you to know this. So if I'm missing after this...now you know.,The Industry (Business/Niche/Product) Doesn't Want You to Know This One. So if I'm missing after this... Now you know.
You're creating your Instagram ads wrong. I will teach you the proper way.,YOU ARE (Action) Your (Niche) wrong. I'll Teach You the Right Way.
Here's how to stop avoiding the things you need to do in your professional life.,Here We Show You How to Stop Avoiding the Things You Need to Do in Your Life (Subject/Theme).
"Ok, I want to share a website that you absolutely need if you are a high school student.","Ok, I Want to Share a (Tool/Website/Application) That You Absolutely Need (Industry/Niche)."
3 more marketing hacks I learned working at Vayner Media.,(Number) More (Business / Niche) I Learned to Work (High Authority Company).
"If you run a local restaurant, you'll enjoy this video and won't see it coming.","If You Run a (Business/Niche), You Will Enjoy This Video and Won't See It Coming."
"This is a trick used by Amazon to explain how their shipping warehouses work, simply.",This is a trick used by (authority figure/mark) to explain (problem) simply.
Is no one talking about this Tiktok ad strategy?,NO ONE IS TALKING ABOUT THIS Strategy (Solution to the Problem)
This is how you can market like Chick-fil-A.,Here's How You Can Market As (Figure/Authority Mark).
"Here's a quick tip to look and feel more comfortable on sales calls, instead of telling yourself to calm down.","Here's a Quick Tip to See and Feel More (Problem Solution), Instead of (Common Belief)."
"If you have just started your plumbing business, you have to check this out.","If You Just Started Your (Business/Niche), You Have To Check This Out."
"You have to check this website. It's called , Popsters.com,a,http://popsters.com/, and it's absolutely wild.",You Have to See This (Website / Tool). It's called (Website / Tool) and it's Absolutely Wild!
"The next time you deal with a customer who refuses to listen, try this technique that Elon Musk does with his customers.","The Next Time you hook up with someone with a (Common Problem) who refuses to listen, try this technique they use (High Authority)."
"What to know about Secret to Under Armours' Twitter strategy? Well, it's called the 1:1:1 method.",Do You Want to Know the Secret of Strategy (Business / Niche) (Platform)?
TikTok revealed some shocking facts! 100 million people say they watch Tiktok on YouTube every day,(Platform/Tool) Revealed Some Shocking New Data Insights!
How did Kevin Hart use Reddit to become the world's biggest comedian?,HOW DID YOU USE (POPULAR FIGURE OR BUSINESS) (SOCIAL MEDIA/PLATFORM) TO BECOME THE MOST IMPORTANT THING SINCE SLICED BREAD?
"If you work with plumbers, you need to hear this!",If You Work With (Niche Clients) YOU NEED TO HEAR THIS!
"This is how I got 30 high-priced clients in 26 days. I'll show you how I made this, so if you're in the marketing space, it stays!","This is how I did (Number) (Desiring Solution) in (Time Frame). I'll show you how I made this one, so if you're in (their niche) it stays!"
Did you know how McDonalds exploded in popularity?,Did you know HOW (Business/Niche) EXPLODED IN POPULARITY?
