Type,Campaign Type,Pillar,Example,Structure
urgency,cold,pipeline,"Last email from me on this, [First Name]","Last email from me on this, [FIRST_NAME]"
urgency,follow-up,pipeline,"Quick question before I go quiet","Quick question before I [ACTION]"
urgency,follow-up,pipeline,"Still [desired outcome]? Here's the thing.","Still [DESIRED_OUTCOME]? Here's the thing."
personal,cold,automation,"[First Name] — quick question about your creative pipeline","[FIRST_NAME] — quick question about your [PROCESS_NAME]"
personal,cold,growth-system,"For CGOs hitting the creative ceiling on Meta spend","For [PERSONA_ROLE]s hitting [PAIN_POINT]"
personal,cold,pipeline,"[First Name], you know this feeling","[FIRST_NAME], you know this feeling"
personal,cold,education,"[First Name] — something I think you'll find useful","[FIRST_NAME] — something I think you'll find useful"
personal,re-engagement,pipeline,"Hey [First Name] — checking in","Hey [FIRST_NAME] — checking in"
personal,re-engagement,pipeline,"[First Name] — still relevant?","[FIRST_NAME] — still relevant?"
personal,re-engagement,pipeline,"[First Name], something changed","[FIRST_NAME], something changed"
personal,follow-up,results,"Following up from our call, [First Name]","Following up from [CONTEXT], [FIRST_NAME]"
personal,follow-up,growth-system,"[First Name] — picking up where we left off","[FIRST_NAME] — picking up where we left off"
personal,nurture,growth-system,"This one's for [PERSONA_ROLE]s like you","This one's for [PERSONA_ROLE]s like you"
personal,cold,automation,"[First Name], this might land differently now","[FIRST_NAME], this might land differently now"
direct,nurture,automation,"Scale ad spend without increasing creative costs","Scale [OUTCOME] without [COST]"
direct,nurture,growth-system,"The operating system for growth — not a tool","The [CATEGORY] for [DESIRED_OUTCOME] — not [WRONG_CATEGORY]"
direct,nurture,results,"More winning ads, faster, without more headcount","More [OUTCOME_1], [SPEED], without [COST]"
direct,promotional,pipeline,"Your growth call is ready to book","Your [CTA_OUTCOME] is ready to [ACTION]"
direct,promotional,automation,"The creative velocity system — see it in 20 minutes","The [SYSTEM_NAME] — see it in [TIMEFRAME]"
direct,follow-up,pipeline,"Next step on the creative bottleneck","Next step on [TOPIC_FROM_CALL]"
direct,re-engagement,pipeline,"Still thinking about [TOPIC]?","Still thinking about [TOPIC]?"
direct,cold,education,"How to test 5x more creative concepts per month","How to [DESIRED_OUTCOME] without [COST_OR_EFFORT]"
direct,cold,pipeline,"The follow-up system that closes stalled deals","The [SYSTEM_TYPE] that [DESIRED_OUTCOME]"
direct,nurture,education,"The 3-step creative intelligence framework","The [N]-step [FRAMEWORK_NAME]"
curiosity,nurture,growth-system,"Most businesses that plateau have this in common","Most [AUDIENCE_TYPE]s that [PROBLEM_STATE] have this in common"
curiosity,cold,results,"What happened when we looked at 100 failing creative programs","What happened when we [ANALYZED_ACTION] [AUDIENCE_CONTEXT]"
social-proof,nurture,automation,"The weekly testing rhythm that changed the math on creative ROI","The [CADENCE/SYSTEM] that changed the math on [METRIC]"
social-proof,cold,growth-system,"Why some brands are compounding while others are stuck","Why some [PERSONA_TYPE]s are [SUCCESS_STATE] while others are [STUCK_STATE]"
urgency,nurture,growth-system,"The gap between you and [desired outcome] is growing","The gap between you and [DESIRED_OUTCOME] is growing"
urgency,re-engagement,automation,"Your competitors aren't waiting on creative production","Your [COMPETITION_TYPE]s aren't waiting on [BOTTLENECK]"
personal,cold,pipeline,"[First Name] — one question about your pipeline","[FIRST_NAME] — one question about your [ASSET]"
personal,re-engagement,results,"[First Name] — thought of you when I saw this","[FIRST_NAME] — thought of you when I saw [CONTEXT]"
curiosity,nurture,pipeline,"The revenue that's already in your list (most people miss it)","The [ASSET] that's already in your [CHANNEL] (most people miss it)"
direct,promotional,results,"See the creative OS in action — book your walkthrough","See [SYSTEM_NAME] in action — book your [CTA_TYPE]"
curiosity,cold,growth-system,"What a $500K/month ad account looks like on the inside","What a [METRIC] [PERSONA_TYPE] looks like on the inside"
social-proof,nurture,pipeline,"How one follow-up sequence recovered $40K in stalled pipeline","How one [ASSET_TYPE] recovered [METRIC] in [PROBLEM_STATE]"
personal,nurture,results,"[First Name], this worked for someone in your exact situation","[FIRST_NAME], this worked for someone in your exact situation"
urgency,cold,automation,"The creative production model is changing — are you ahead of it?","The [INDUSTRY/PROCESS] is changing — are you ahead of it?"
